Student IDs,Day,Hour,Activity,Duration
0,3,17,0.0,882
0,3,17,2.0,12
0,3,17,1.0,63
0,3,18,0.0,903
0,3,18,1.0,6
0,3,18,2,0
0,3,19,0.0,648
0,3,19,2.0,15
0,3,19,1.0,207
0,3,20,0.0,909
0,3,20,1.0,27
0,3,20,2,0
0,3,21,0.0,960
0,3,21,1.0,36
0,3,21,2,0
0,3,22,0.0,921
0,3,22,1.0,57
0,3,22,2,0
0,3,23,0.0,1023
0,3,23,1,0
0,3,23,2,0
0,4,0,0.0,987
0,4,0,1.0,18
0,4,0,2,0
0,4,1,0.0,1041
0,4,1,1,0
0,4,1,2,0
0,4,2,0.0,1041
0,4,2,1,0
0,4,2,2,0
0,4,3,0.0,1041
0,4,3,1,0
0,4,3,2,0
0,4,4,0.0,1041
0,4,4,1,0
0,4,4,2,0
0,4,5,0.0,1038
0,4,5,1,0
0,4,5,2,0
0,4,6,0.0,1041
0,4,6,1,0
0,4,6,2,0
0,4,7,0.0,780
0,4,7,2.0,6
0,4,7,1.0,102
0,4,8,0.0,813
0,4,8,2.0,27
0,4,8,1.0,150
0,4,9,0.0,921
0,4,9,2.0,78
0,4,9,1.0,33
0,4,10,0.0,1017
0,4,10,1,0
0,4,10,2,0
0,4,11,0.0,534
0,4,11,1.0,432
0,4,11,2,0
0,4,12,0.0,561
0,4,12,2.0,48
0,4,12,1.0,267
0,4,13,0.0,813
0,4,13,1.0,153
0,4,13,2,0
0,4,14,0.0,525
0,4,14,1.0,402
0,4,14,2,0
0,4,15,0.0,729
0,4,15,2.0,12
0,4,15,1.0,219
0,4,16,0.0,906
0,4,16,2.0,24
0,4,16,1.0,30
0,4,17,0.0,996
0,4,17,1.0,24
0,4,17,2,0
0,4,18,0.0,657
0,4,18,2.0,18
0,4,18,1.0,111
0,4,19,0.0,1041
0,4,19,1,0
0,4,19,2,0
0,4,20,0.0,1038
0,4,20,1,0
0,4,20,2,0
0,4,21,0.0,1041
0,4,21,1,0
0,4,21,2,0
0,4,22,0.0,1032
0,4,22,1,0
0,4,22,2,0
0,4,23,0.0,1041
0,4,23,1,0
0,4,23,2,0
0,5,0,0.0,1038
0,5,0,1,0
0,5,0,2,0
0,5,1,0.0,1041
0,5,1,1,0
0,5,1,2,0
0,5,2,0.0,1038
0,5,2,1,0
0,5,2,2,0
0,5,3,0.0,1041
0,5,3,1,0
0,5,3,2,0
0,5,4,0.0,1038
0,5,4,1,0
0,5,4,2,0
0,5,5,0.0,1038
0,5,5,1,0
0,5,5,2,0
0,5,6,0.0,1038
0,5,6,1,0
0,5,6,2,0
0,5,7,0.0,1041
0,5,7,1,0
0,5,7,2,0
0,5,8,0.0,1038
0,5,8,1,0
0,5,8,2,0
0,5,9,0.0,576
0,5,9,2.0,12
0,5,9,1.0,150
0,5,10,0.0,642
0,5,10,2.0,3
0,5,10,1.0,126
0,5,11,0.0,795
0,5,11,1.0,24
0,5,11,2,0
0,5,12,0.0,1032
0,5,12,1,0
0,5,12,2,0
0,5,13,0.0,630
0,5,13,2.0,45
0,5,13,1.0,117
0,5,14,0.0,1023
